method,homDim,score,strDim
ps,1,0.9887355809930751,
nl,1,0.9854590825450338,
ecc,1,0.9926408416742639,
pes,1,0.7824054044371143,
pi,1,0.9828559949032122,
vpb,1,0.010977470254002983,
vab,"[0, 1]",0.9937503482943257,
pl,"[0, 1]",0.9843960784025656,
ps,"[0, 1]",0.988519418673337,
nl,"[0, 1]",0.9900022134908188,
ecc,"[0, 1]",0.9923447186373924,
pes,"[0, 1]",0.971801564768707,
pi,"[0, 1]",0.9826939440344299,
vpb,"[0, 1]",0.013289304980634149,
vab,0,0.9644713044630586,
pl,0,0.5176778818204788,
ps,0,0.9404059110646206,
nl,0,0.9483748599248901,
ecc,0,0.9686033416582404,
pes,0,0.9721285052999014,
pi,0,0.9663920153301202,
vpb,0,0.9695954378393891,
vab,1,0.9863847464786193,
pl,1,0.9871802538572332,
ps,1,0.9802768810469916,
nl,1,0.983826156166089,
ecc,1,0.9911581987853704,
pes,1,0.717205834268954,
pi,1,0.982923957735782,
vpb,1,0.006342068276714269,
vab,"[0, 1]",0.991258324070043,
pl,"[0, 1]",0.9855310146905176,
ps,"[0, 1]",0.9872286299383555,
nl,"[0, 1]",0.9883773506714221,
ecc,"[0, 1]",0.9927700573109967,
pes,"[0, 1]",0.971328640566552,
pi,"[0, 1]",0.9909376683711306,
vpb,"[0, 1]",0.009133838490089306,
vab,0,0.9653667654879314,
pl,0,0.4195266859634368,
ps,0,0.9405142875483223,
nl,0,0.9512030244243185,
ecc,0,0.9691193796597113,
pes,0,0.9646394084557682,
pi,0,0.9685016454227525,
vpb,0,0.9664554631006015,
vab,1,0.9870877765462478,
pl,1,0.9854647136797994,
ps,1,0.5262197379654333,
nl,1,0.9890734952391783,
ecc,1,0.993467762725129,
pes,1,0.7163011519867044,
pi,1,0.05007448239761959,
vpb,1,0.02234755274291599,
vab,"[0, 1]",0.9927563232949301,
pl,"[0, 1]",0.9864719252648785,
ps,"[0, 1]",0.9738199866319991,
nl,"[0, 1]",0.9902314244250543,
ecc,"[0, 1]",0.9834486562138037,
pes,"[0, 1]",0.9750734725987474,
pi,"[0, 1]",0.9817027212839968,
vpb,"[0, 1]",0.0240870435682688,
vab,0,0.9668039291593933,
pl,0,0.4713997153805029,
ps,0,0.9312219473378589,
nl,0,0.9502746810126049,
ecc,0,0.9738800402412356,
pes,0,0.9583800688784213,
pi,0,0.9691741621066411,
vpb,0,0.9701165228651871,
vab,1,0.9864700878371087,
pl,1,0.9872669197102425,
ps,1,0.9834408818757029,
nl,1,0.9821490052424389,
ecc,1,0.9934059066869352,
pes,1,0.7509287211003779,
pi,1,0.9754991980399315,
vpb,1,0.014296228717427395,
vab,"[0, 1]",0.9920447420906826,
pl,"[0, 1]",0.9859100894736458,
ps,"[0, 1]",0.9893231564402368,
nl,"[0, 1]",0.9887753760484033,
ecc,"[0, 1]",0.9924845091140738,
pes,"[0, 1]",0.9764407470127171,
pi,"[0, 1]",0.9887578039841752,
vpb,"[0, 1]",0.0015686553525313938,
vab,0,0.9693763828766775,
pl,0,0.5145267172443908,
ps,0,0.9457003724431532,
nl,0,0.9598093499819027,
ecc,0,0.977828760455521,
pes,0,0.9680641225865658,
pi,0,0.9637944444712421,
vpb,0,0.9757664782366232,
vab,1,0.9908446150850206,
pl,1,0.9857505335725159,
ps,1,0.984283728855783,
nl,1,0.9853833948224536,
ecc,1,0.9925891782804364,
pes,1,0.7693121991584052,
pi,1,0.9272718832256633,
vpb,1,0.010187151014972171,
vab,"[0, 1]",0.9927000458937686,
pl,"[0, 1]",0.9861500657482906,
ps,"[0, 1]",0.9898854432669243,
nl,"[0, 1]",0.9883641551865412,
ecc,"[0, 1]",0.9938344688892915,
pes,"[0, 1]",0.9775827895379603,
pi,"[0, 1]",0.34036587166830773,
vpb,"[0, 1]",0.0020240105967951395,
